tweet_id,name,screen_name,retweet_count,text,mined_at,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
1382490433138221056,Ramya Subramanian,actorramya,1,RT @VijaytvMovies: What happens when a loom worker crosses paths with a communist and decides to change the course of his life? Sangathalai…,2021-04-15 13:06:00.273410,2021-04-15 00:26:19+00:00,0,[],11328,,Twitter for iPhone,"What happens when a loom worker crosses paths with a communist and decides to change the course of his life? Sangathalaivan, now streaming in @DisneyplusHSVIP 

#Sangathalaivan #NowStreaming 
@thondankani @actorramya @VetriMaaran 

https://t.co/tvpfHCxKxg",None,None
1382361434122719232,Ramya Subramanian,actorramya,6,@dulQuer @brindagopal @aditiraohydari @MsKajalAggarwal @madhankarky @govind_vasantha @jiostudios 💯♥️,2021-04-15 13:06:00.273410,2021-04-14 15:53:43+00:00,77,[],11328,,Twitter for iPhone,None,None,None
1382343620511072258,Ramya Subramanian,actorramya,46,@dulQuer @brindagopal @aditiraohydari @MsKajalAggarwal @madhankarky @govind_vasantha @jiostudios Adade ! Dhool 🔥💥🤝🙌🏻😀👍🏻! Waiting to listen to this Adiiii ♥️💪🏻! Congrats 🎊🎉🎈😇,2021-04-15 13:06:00.273410,2021-04-14 14:42:56+00:00,808,[],11328,,Twitter for iPhone,None,None,None
1382327459736080394,Ramya Subramanian,actorramya,1,@kayaldevaraj @camsenthil Thank u sir :),2021-04-15 13:06:00.273410,2021-04-14 13:38:43+00:00,54,[],11328,,Twitter for iPhone,None,None,None
1382306986235203590,Ramya Subramanian,actorramya,66,"தமிழ் பொண்ணு feels 🙏🏻🧚🏻‍♀️
📷- @camsenthil https://t.co/GfwtK8DCC8",2021-04-15 13:06:00.273410,2021-04-14 12:17:22+00:00,1826,[],11328,,Twitter for iPhone,None,None,None
1382204464946352128,Ramya Subramanian,actorramya,10,"RT @CelebrityMiror: Beautiful Actress @actorramya wishes #HappyTamilNewYear to everyone 💐

#RamyaSubramanian https://t.co/mrBm0yjKcP",2021-04-15 13:06:00.273410,2021-04-14 05:29:59+00:00,0,"[{'text': 'HappyTamilNewYear', 'indices': [57, 75]}, {'text': 'RamyaSubramanian', 'indices': [91, 108]}]",11328,,Twitter for iPhone,"Beautiful Actress @actorramya wishes #HappyTamilNewYear to everyone 💐

#RamyaSubramanian https://t.co/mrBm0yjKcP",None,None
1381226487223705602,Ramya Subramanian,actorramya,146,When in doubt 👉🏻 Saree🥻😊 https://t.co/Kecyo8R2Y7,2021-04-15 13:06:00.273410,2021-04-11 12:43:51+00:00,2994,[],11328,,Twitter for iPhone,None,None,None
1381208359127355393,Ramya Subramanian,actorramya,5,"Styling - @sripalasa @shobanababushankar 
💄- @makeupbypavi 
💇🏻‍♀️- @prettypalettes_mua 
📸- @jahnavi.gunaseelan https://t.co/GhQrPGje24",2021-04-15 13:06:00.273410,2021-04-11 11:31:49+00:00,74,[],11328,,Instagram,None,None,None
1381150311146917890,Ramya Subramanian,actorramya,23,♥️😇🙏🏻 https://t.co/jthlSu06IC,2021-04-15 13:06:00.273410,2021-04-11 07:41:09+00:00,708,[],11328,,Twitter for iPhone,None,None,None
1380884574771703814,Ramya Subramanian,actorramya,4,Thank you ♥️😇 https://t.co/7pJkcDVJbT,2021-04-15 13:06:00.273410,2021-04-10 14:05:12+00:00,106,[],11328,,Twitter for iPhone,None,None,None
1380438310271655941,Ramya Subramanian,actorramya,5,"RT @VijaytvMovies: #Sangathalaivan now streaming on @DisneyplusHSVIP 😊
@thondankani @actorramya https://t.co/7wnTeXI3OW",2021-04-15 13:06:00.273410,2021-04-09 08:31:55+00:00,0,"[{'text': 'Sangathalaivan', 'indices': [19, 34]}]",11328,,Twitter for iPhone,"#Sangathalaivan now streaming on @DisneyplusHSVIP 😊
@thondankani @actorramya https://t.co/7wnTeXI3OW",None,None
1379592845972021249,Ramya Subramanian,actorramya,536,RT @ayushmannk: https://t.co/mv7MrLXYvc,2021-04-15 13:06:00.273410,2021-04-07 00:32:20+00:00,0,[],11328,,Twitter for iPhone,https://t.co/mv7MrLXYvc,None,None
1379268856376557568,Ramya Subramanian,actorramya,154,Done ✔️ https://t.co/DsEHlGhBS8,2021-04-15 13:06:00.273410,2021-04-06 03:04:55+00:00,3786,[],11328,,Twitter for iPhone,None,None,None
1378880785789243393,Ramya Subramanian,actorramya,0,@RagavendraJ Please do 😇🙏🏻,2021-04-15 13:06:00.273410,2021-04-05 01:22:52+00:00,1,[],11328,,Twitter for iPhone,None,None,None
1378709639747919878,Ramya Subramanian,actorramya,0,@anustylist Thank u Anu Mam ♥️🤗😘,2021-04-15 13:06:00.273410,2021-04-04 14:02:47+00:00,3,[],11328,,Twitter for iPhone,None,None,None
1378702522391519236,Ramya Subramanian,actorramya,69,Know your value ladies ♥️ https://t.co/BR6KK583tL,2021-04-15 13:06:00.273410,2021-04-04 13:34:31+00:00,1082,[],11328,,Twitter for iPhone,None,None,None
1377587206714351619,Ramya Subramanian,actorramya,794,"Because  there exists nobody like YOU .... May your glory and radiance be a shining star always THALAIVAA ... thank you for living a life to look upto and learn . 
Congratulations on the biggest #DadasahebPhalkeAward 
🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
Love you ♥️♥️♥️",2021-04-15 13:06:00.273410,2021-04-01 11:42:39+00:00,3334,"[{'text': 'DadasahebPhalkeAward', 'indices': [195, 216]}]",11328,,Twitter for iPhone,None,None,None
1376547418947297280,Ramya Subramanian,actorramya,121,"@Dir_Lokesh Take care,Get Well Soon and Come Back With More Vigour and Strength 💪🏻.",2021-04-15 13:06:00.273410,2021-03-29 14:50:54+00:00,1615,[],11328,,Twitter for iPhone,None,None,None
1374722402836307973,Ramya Subramanian,actorramya,0,@RazorpayCare pl check your inbox !!!,2021-04-15 13:06:00.273410,2021-03-24 13:58:56+00:00,0,[],11328,,Twitter for iPhone,None,None,None
1374222032913592323,Ramya Subramanian,actorramya,592,"Congratulations to the incredible talents who have made us proud with the National Awards ❤️🔥💪🏻🙌🏻!!!
@VetriMaaran @dhanushkraja @VijaySethuOffl @immancomposer @rparthiepan 
We Salute You 🙏🏻🙏🏻🙏🏻.",2021-04-15 13:06:00.273410,2021-03-23 04:50:39+00:00,6986,[],11328,,Twitter for iPhone,None,None,None
1372526535207387139,Ramya Subramanian,actorramya,0,@urbancompany_UC poor service that couldn’t fix the problem and adding to that is no call backs or response from customer care . You need to step up your service in Chennai UC ! 👎🏻,2021-04-15 13:06:00.273410,2021-03-18 12:33:20+00:00,0,[],11328,,Twitter for iPhone,None,None,None
1371800510769078276,Ramya Subramanian,actorramya,8,"🖤

📷: @camerasenthil 
🥻: @tashithreads 
💄 💇🏻‍♀️ : @pavash_makeup @yolo.offl 
earring : @mspinkpantherjewel https://t.co/qwY5eR94lA",2021-04-15 13:06:00.273410,2021-03-16 12:28:23+00:00,131,[],11328,,Instagram,None,None,None
1371465166924128259,Ramya Subramanian,actorramya,13,Just posted a photo https://t.co/bg6m1KLxnf,2021-04-15 13:06:00.273410,2021-03-15 14:15:51+00:00,277,[],11328,,Instagram,None,None,None
1371442003293077506,Ramya Subramanian,actorramya,64,RT @SaiMantras: Spread love everywhere you go. Let no one ever come to you without leaving happier.,2021-04-15 13:06:00.273410,2021-03-15 12:43:48+00:00,0,[],11328,,Twitter for iPhone,Spread love everywhere you go. Let no one ever come to you without leaving happier.,None,None
1371438163944640512,Ramya Subramanian,actorramya,96,"Thank you IWF for recognising me with the Inspirational Fitness Icon Award 🙏🏻.
I feel extremely humbled and hope to lead the days ahead to live up to this huge pressure now ❤️😊.

Summaaa roundu katti photos edhutha my dear photographer friends,don’t know whom to tag now 🙈🙏🏻🙏🏻🙏🏻 https://t.co/RGocYifyTe",2021-04-15 13:06:00.273410,2021-03-15 12:28:33+00:00,2261,[],11328,,Twitter for iPhone,None,None,None
1371436272066121733,Ramya Subramanian,actorramya,7,Just posted a photo https://t.co/qrPBio3Ybr,2021-04-15 13:06:00.273410,2021-03-15 12:21:01+00:00,121,[],11328,,Instagram,None,None,None
1370649149868290051,Ramya Subramanian,actorramya,14,"Today’s session was lit and hyped thanks to the magic of our Tamil Kuthu numbers 😜🔥💪🏻
#BackAndBiceps 💪🏻

On the other side,enrollment begins for the 2nd batch on https://t.co/mi9aVfFbNf from 4:30pm IST today 🤙🏻🙌🏻🙋🏻‍♀️. https://t.co/FQxk4aAo9N",2021-04-15 13:06:00.273410,2021-03-13 08:13:17+00:00,238,"[{'text': 'BackAndBiceps', 'indices': [86, 100]}]",11328,,Instagram,None,None,None
1368929820671946758,Ramya Subramanian,actorramya,6,"We fight many wars too,
but mostly internal .
Happy Women’s Day Ladies 
❤️🤗

📸- @jahnavi.gunaseelan 
🥻/ blouse - @kavithasachi 
💇🏻‍♀️💄 - @prettypalettes_mua https://t.co/0QvCyAPRkF",2021-04-15 13:06:00.273410,2021-03-08 14:21:17+00:00,135,[],11328,,Instagram,None,None,None
1368868983345049600,Ramya Subramanian,actorramya,310,Woo hoo ! Too cool Copstar ❤️👍🏻😄💪🏻😎.... wishing you the very best 😇 https://t.co/T5uq2gcIJ7,2021-04-15 13:06:00.273410,2021-03-08 10:19:32+00:00,2123,[],11328,,Twitter for iPhone,None,None,None
1368784164665790467,Ramya Subramanian,actorramya,29,Thank you @ChennaiTimesTOI ❤️ https://t.co/BwjKHl52NX,2021-04-15 13:06:00.273410,2021-03-08 04:42:30+00:00,1118,[],11328,,Twitter for iPhone,None,None,None
1368591241797984257,Ramya Subramanian,actorramya,2920,Thala pola varumaaaa ❤️😍🙌🏻!!! https://t.co/umJyAQq3Qw,2021-04-15 13:06:00.273410,2021-03-07 15:55:53+00:00,9785,[],11328,,Twitter for iPhone,None,None,None
1368567754442248192,Ramya Subramanian,actorramya,1,@kayaldevaraj 😇🙏🏻,2021-04-15 13:06:00.273410,2021-03-07 14:22:34+00:00,76,[],11328,,Twitter for iPhone,None,None,None
1368551014714859523,Ramya Subramanian,actorramya,179,🌸 https://t.co/1H4d0Jl5QO,2021-04-15 13:06:00.273410,2021-03-07 13:16:03+00:00,3599,[],11328,,Twitter for iPhone,None,None,None
1368547224955719682,Ramya Subramanian,actorramya,5,Just posted a photo https://t.co/jWJoBWd8QS,2021-04-15 13:06:00.273410,2021-03-07 13:00:59+00:00,152,[],11328,,Instagram,None,None,None
1368190427640307718,Ramya Subramanian,actorramya,158,"Thank you Jahnavi Gunaseelan ❤️!
You are the bestttt 😘 https://t.co/D4VCCizeTo",2021-04-15 13:06:00.273410,2021-03-06 13:23:12+00:00,2222,[],11328,,Twitter for iPhone,None,None,None
1368187111036366852,Ramya Subramanian,actorramya,4,"When @jahnavi.gunaseelan got herself into editing the magic of what she 📸,this is what happened ☺️

#RamyasSareeReels https://t.co/h6cIQrV4n2",2021-04-15 13:06:00.273410,2021-03-06 13:10:01+00:00,87,"[{'text': 'RamyasSareeReels', 'indices': [100, 117]}]",11328,,Instagram,None,None,None
1367685214684782594,Ramya Subramanian,actorramya,17,"தாய் இல்லாமல் நாம் இல்லை ❤️🙏🏻😇.
#அம்மாHappy 

👗: @thestitches.in https://t.co/D3L4FFQT0Q",2021-04-15 13:06:00.273410,2021-03-05 03:55:40+00:00,435,"[{'text': 'அம்மாHappy', 'indices': [32, 43]}]",11328,,Instagram,None,None,None
1367487881665683456,Ramya Subramanian,actorramya,4,"RT @divomovies: ""A Date With My Mom"" @actorramya

https://t.co/Ppxou4ZJPZ

#datewithmom #date #mom #ramya https://t.co/kW8vf0sQ7f",2021-04-15 13:06:00.273410,2021-03-04 14:51:32+00:00,0,"[{'text': 'datewithmom', 'indices': [75, 87]}, {'text': 'date', 'indices': [88, 93]}, {'text': 'mom', 'indices': [94, 98]}, {'text': 'ramya', 'indices': [99, 105]}]",11328,,Twitter for iPhone,"""A Date With My Mom"" @actorramya

https://t.co/Ppxou4ZJPZ

#datewithmom #date #mom #ramya https://t.co/kW8vf0sQ7f",None,None
1367422817399148553,Ramya Subramanian,actorramya,11,Just posted a video https://t.co/TAv97Eb2A9,2021-04-15 13:06:00.273410,2021-03-04 10:32:59+00:00,492,[],11328,,Instagram,None,None,None
1365951358889680898,Ramya Subramanian,actorramya,4,@rameshlaus Thank you sir ❤️,2021-04-15 13:06:00.273410,2021-02-28 09:05:56+00:00,228,[],11328,,Twitter for iPhone,None,None,None
1365821067164454920,Ramya Subramanian,actorramya,15,Thank you @KollywoodCinima 😇🙏🏻 https://t.co/MX4L7Eap95,2021-04-15 13:06:00.273410,2021-02-28 00:28:12+00:00,449,[],11328,,Twitter for iPhone,None,None,None
1365677727643299841,Ramya Subramanian,actorramya,0,@srirama74 Thank you 😊,2021-04-15 13:06:00.273410,2021-02-27 14:58:37+00:00,0,[],11328,,Twitter for iPhone,None,None,None
1365677701596663809,Ramya Subramanian,actorramya,0,@v_subs Thank you 😊,2021-04-15 13:06:00.273410,2021-02-27 14:58:31+00:00,1,[],11328,,Twitter for iPhone,None,None,None
1365677629949566982,Ramya Subramanian,actorramya,5,@KikiVijay Thank u da ❤️,2021-04-15 13:06:00.273410,2021-02-27 14:58:14+00:00,116,[],11328,,Twitter for iPhone,None,None,None
1365663738536280069,Ramya Subramanian,actorramya,9,Thank you @maalaimalar ❤️🙏🏻🙏🏻🙏🏻 https://t.co/focvg8FbQ2,2021-04-15 13:06:00.273410,2021-02-27 14:03:02+00:00,254,[],11328,,Twitter for iPhone,None,None,None
1365653632029519875,Ramya Subramanian,actorramya,66,"LAUNCH TIME 🥳https://t.co/mi9aVfFbNf 
Live now 🔥🙋🏻‍♀️! Check it out 🎈🎊!

Thank you my dear people for showing me what I am capable for and believing in me always 😘🤗.

Immensely happy to have kickstarted this today officially☺️. https://t.co/yAkQcoDSmc",2021-04-15 13:06:00.273410,2021-02-27 13:22:53+00:00,1717,[],11328,,Twitter for iPhone,None,None,None
1365647350811619328,Ramya Subramanian,actorramya,9,🙏🏻🙏🏻🙏🏻 https://t.co/IOa4FQSexD,2021-04-15 13:06:00.273410,2021-02-27 12:57:55+00:00,176,[],11328,,Twitter for iPhone,None,None,None
1365556526425931777,Ramya Subramanian,actorramya,16,Sirrrrr these are big words for me ....Thank you so much 😇🙏🏻!!!! https://t.co/MWopR78Ydt,2021-04-15 13:06:00.273410,2021-02-27 06:57:01+00:00,346,[],11328,,Twitter for iPhone,None,None,None
1365491441330319360,Ramya Subramanian,actorramya,43,How beautiful is this ❤️... my country... my women ..HIMA DAS 🔥🔥🔥 https://t.co/WW8BYkKZ3X,2021-04-15 13:06:00.273410,2021-02-27 02:38:23+00:00,837,[],11328,,Twitter for iPhone,None,None,None
1365252760451444738,Ramya Subramanian,actorramya,1,@JioCare your customer care and support system is extremely bad Jio!People either don’t answer calls or stop picking up post the complaint. Not cool at all !,2021-04-15 13:06:00.273410,2021-02-26 10:49:57+00:00,8,[],11328,,Twitter for iPhone,None,None,None
1365235332791304194,Ramya Subramanian,actorramya,6,Just posted a photo https://t.co/lLSyocv7Dy,2021-04-15 13:06:00.273410,2021-02-26 09:40:42+00:00,184,[],11328,,Instagram,None,None,None
1364916523018543106,Ramya Subramanian,actorramya,56,லஷ்மி ❤️ #SangathalaivanFromTomorrow https://t.co/N2Qr4mtY5Q,2021-04-15 13:06:00.273410,2021-02-25 12:33:52+00:00,1212,"[{'text': 'SangathalaivanFromTomorrow', 'indices': [9, 36]}]",11328,,Twitter for iPhone,None,None,None
1364769711880343553,Ramya Subramanian,actorramya,21,"RT @rameshlaus: Sangathalaivan Press meet stills..

#Sangathalaivan from 
February 26th Release.

@thondankani @actorramya @VetriMaaran  @r…",2021-04-15 13:06:00.273410,2021-02-25 02:50:30+00:00,0,"[{'text': 'Sangathalaivan', 'indices': [52, 67]}]",11328,,Twitter for iPhone,"Sangathalaivan Press meet stills..

#Sangathalaivan from 
February 26th Release.

@thondankani @actorramya @VetriMaaran  @robert_sargunam @Manimar20848351 @GrassRootFilmCo @vikramanand13 
@RIAZtheboss @divomovies https://t.co/O2kd92bGG0",None,None
1364769618045382657,Ramya Subramanian,actorramya,4,Thank you so much @CompleteCinemas ❤️😇🙏🏻 https://t.co/vEd2O0fb1l,2021-04-15 13:06:00.273410,2021-02-25 02:50:07+00:00,99,[],11328,,Twitter for iPhone,None,None,None
1364769237269643265,Ramya Subramanian,actorramya,6,"RT @RinkuGupta2012: Sangathalaivan Press meet stills..

2 days to go for #Sangathalaivan

@thondankani @actorramya @VetriMaaran  @robert_sa…",2021-04-15 13:06:00.273410,2021-02-25 02:48:37+00:00,0,"[{'text': 'Sangathalaivan', 'indices': [73, 88]}]",11328,,Twitter for iPhone,"Sangathalaivan Press meet stills..

2 days to go for #Sangathalaivan

@thondankani @actorramya @VetriMaaran  @robert_sargunam @Manimar20848351 @GrassRootFilmCo @vikramanand13 
@RIAZtheboss @divomovies @CtcMediaboy https://t.co/4PH7lFpwOs",None,None
1364564988539637762,Ramya Subramanian,actorramya,138,"லஷ்மி  in சங்க தலைவன் 😇
Feb 26th Theatrical Release 
2 Days To Go 🙌🏻 https://t.co/0BPZSHrFYM",2021-04-15 13:06:00.274410,2021-02-24 13:17:00+00:00,2960,[],11328,,Twitter for iPhone,None,None,None
1362767209534119938,Ramya Subramanian,actorramya,45,"From Telly to Celluloid , you have made it all by the grit,perseverance and zest to achieve 🔥 . I always respect that killer attitude and determination @aishu_dil 👏🏻👏🏻👏🏻! 
Congratulations on Earning and Owning the KALAIMAMANI Aishu 🏅❤️🤗",2021-04-15 13:06:00.274410,2021-02-19 14:13:16+00:00,1098,[],11328,,Twitter for iPhone,None,None,None
1362766240922492934,Ramya Subramanian,actorramya,422,"I feel like my classmate in school grew to be 
an All Rounder in class 🙋🏻‍♂️,
the Best Performer in school 🏆
a State Record Holder 👨🏻‍🎓and then one day he became a Bonafide Ambassador🥇⭐️!
This is Incredible 👏🏻👏🏻👏🏻
Congratulations KALAIMAMANI @Siva_Kartikeyan 😇💐❤️🎉🎈🎊",2021-04-15 13:06:00.274410,2021-02-19 14:09:25+00:00,3868,[],11328,,Twitter for iPhone,None,None,None
1362747397361725443,Ramya Subramanian,actorramya,9,Thank you sir 😇 https://t.co/6atLPMmNXJ,2021-04-15 13:06:00.274410,2021-02-19 12:54:32+00:00,123,[],11328,,Twitter for iPhone,None,None,None
1362727367203053616,Ramya Subramanian,actorramya,3,"RT @divomovies: Porattam Illaamal from #Sangathalaivan is out now. 

Watch the song with the link below👇

⏯https://t.co/PNiuEQFtgd

@thonda…",2021-04-15 13:06:00.274410,2021-02-19 11:34:57+00:00,0,"[{'text': 'Sangathalaivan', 'indices': [39, 54]}]",11328,,Twitter for iPhone,"Porattam Illaamal from #Sangathalaivan is out now. 

Watch the song with the link below👇

⏯https://t.co/PNiuEQFtgd

@thondankani @VetriMaaran @robert_sargunam @Manimar20848351 @actorramya @RIAZtheboss 

#vetrimaran #VijaySethupathi https://t.co/5LC6Tg8ll6",None,None
1362402998190759939,Ramya Subramanian,actorramya,15,RT @GalleryHeroines: @actorramya https://t.co/8GkAJ6xU4U,2021-04-15 13:06:00.274410,2021-02-18 14:06:01+00:00,0,[],11328,,Twitter for iPhone,@actorramya https://t.co/8GkAJ6xU4U,None,None
1362021340136566789,Ramya Subramanian,actorramya,7,"Amma kitta 💯 marks vaanganum naa ennoda technique &gt;🥻+ pottu 😉 !
What is yours 😃 !?  

Sari - @thestitches.in 
Blouse - @aishwaryakumar.in 
💇🏻‍♀️ 💄- @aartiguttastudio 
 📷 - @camerasenthil https://t.co/LKnNzlppHD",2021-04-15 13:06:00.274410,2021-02-17 12:49:27+00:00,108,[],11328,,Instagram,None,None,None
1361852115921027072,Ramya Subramanian,actorramya,94,Congratulations sweets @Sai_Pallavi92 ❤️!!! You deserve every award in the world for that performance ... it’s right in front of me when I close my eyes 💐🔥😍👌🏻🤙🏻! https://t.co/bqF5fHGnEH,2021-04-15 13:06:00.274410,2021-02-17 01:37:01+00:00,2530,[],11328,,Twitter for iPhone,None,None,None
1361217248220696584,Ramya Subramanian,actorramya,0,"@RazorpayCare I honestly haven’t seen a system this slow and unresponsive ... despite my continuous attempts to reach you and the earlier tweet,there has been no action taken to activate my account for the website.Extremely Extremely upsetting @Razorpay !",2021-04-15 13:06:00.274410,2021-02-15 07:34:16+00:00,0,[],11328,,Twitter for iPhone,None,None,None
1360972318374129664,Ramya Subramanian,actorramya,2,@kayaldevaraj @camsenthil Thank you sir 😇,2021-04-15 13:06:00.274410,2021-02-14 15:21:01+00:00,88,[],11328,,Twitter for iPhone,None,None,None
1360930726070218754,Ramya Subramanian,actorramya,50,"To Love Another,
You Must Love Yourself ❤️.

Wishing My Love Community here a very Happy Valentines Day 🌹🤗🥰.
📷 - @camsenthil https://t.co/rMKIs5VJIM",2021-04-15 13:06:00.274410,2021-02-14 12:35:44+00:00,1146,[],11328,,Twitter for iPhone,None,None,None
1360813672982020096,Ramya Subramanian,actorramya,6,Just posted a photo https://t.co/K6GUf2fYmx,2021-04-15 13:06:00.274410,2021-02-14 04:50:36+00:00,89,[],11328,,Instagram,None,None,None
1360813495919415298,Ramya Subramanian,actorramya,3,Just posted a photo https://t.co/40aFGk3F5I,2021-04-15 13:06:00.274410,2021-02-14 04:49:54+00:00,73,[],11328,,Instagram,None,None,None
1360796538092408835,Ramya Subramanian,actorramya,12,Happy Birthday @Actor_Krishna 😇🎊🎈🎉🤩🙋🏻‍♀️! Wishing you a great one today and god bless 😇🙌🏻❤️,2021-04-15 13:06:00.274410,2021-02-14 03:42:31+00:00,440,[],11328,,Twitter for iPhone,None,None,None
1360430446891339780,Ramya Subramanian,actorramya,0,@RazorpayCare That’s already been done last night . Pl check your inbox .,2021-04-15 13:06:00.274410,2021-02-13 03:27:48+00:00,0,[],11328,,Twitter for iPhone,None,None,None
1360230464938676232,Ramya Subramanian,actorramya,10,The response from @RazorpayCare is so disappointing ... need urgent support to go live .. it has been very slow from your team :(,2021-04-15 13:06:00.274410,2021-02-12 14:13:09+00:00,177,[],11328,,Twitter for iPhone,None,None,None
1359875132081074182,Ramya Subramanian,actorramya,15,#CareofKaadhal contains 4 different heart melting love stories 😇... releasing tomorrow at a theater near you . Wishing the team the very best 🔥👍🏻! https://t.co/EP8Zg4K5HN,2021-04-15 13:06:00.274410,2021-02-11 14:41:11+00:00,297,"[{'text': 'CareofKaadhal', 'indices': [0, 14]}]",11328,,Twitter for iPhone,None,None,None
1359723167036575747,Ramya Subramanian,actorramya,549,"OMG this is too cool and so damn proud to see this poster 🤩😇!
Wishing the global icon and this Indian torch bearer from Namma Chennai , @dhanushkraja sir the very very best 🔥❤️🙌🏻! https://t.co/NhRVsS3yzY",2021-04-15 13:06:00.274410,2021-02-11 04:37:20+00:00,2053,[],11328,,Twitter for iPhone,None,None,None
1359722409016782855,Ramya Subramanian,actorramya,1,"@RIAZtheboss Happy birthday to you Riyaz sir 😇🤙🏻! Sincere,hardworking and commitment are the words which belong to you 🔥. Wishing you a wonderful birthday and god bless ❤️.",2021-04-15 13:06:00.274410,2021-02-11 04:34:19+00:00,29,[],11328,,Twitter for iPhone,None,None,None
1359721936201216008,Ramya Subramanian,actorramya,3,"@rameshlaus happy birthday to you sir ❤️😇🎉🎁🎈! Thank you for being so kind and supportive to me always . 
I wish you a great birthday 😇.",2021-04-15 13:06:00.274410,2021-02-11 04:32:26+00:00,147,[],11328,,Twitter for iPhone,None,None,None
1359506178586202114,Ramya Subramanian,actorramya,9,"RT @sri50: #Sangathalaivan from February 26th. 

@thondankani @actorramya @VetriMaaran  @robert_sargunam @Manimar20848351 @GrassRootFilmCo…",2021-04-15 13:06:00.274410,2021-02-10 14:15:06+00:00,0,"[{'text': 'Sangathalaivan', 'indices': [11, 26]}]",11328,,Twitter for iPhone,"#Sangathalaivan from February 26th. 

@thondankani @actorramya @VetriMaaran  @robert_sargunam @Manimar20848351 @GrassRootFilmCo @vikramanand13 
@RIAZtheboss @divomovies https://t.co/IMJei68Vyd",None,None
1359386606222774275,Ramya Subramanian,actorramya,4,😍 https://t.co/AtP0JC2Rcu,2021-04-15 13:06:00.274410,2021-02-10 06:19:57+00:00,91,[],11328,,Twitter for iPhone,None,None,None
1358958910443380737,Ramya Subramanian,actorramya,3,Thanks a ton 😇 https://t.co/lVuzpZ6v6z,2021-04-15 13:06:00.274410,2021-02-09 02:00:27+00:00,75,[],11328,,Twitter for iPhone,None,None,None
1358958839995928578,Ramya Subramanian,actorramya,1,Thank you ❤️ https://t.co/db1jLtTXIV,2021-04-15 13:06:00.274410,2021-02-09 02:00:10+00:00,62,[],11328,,Twitter for iPhone,None,None,None
1358783486832771073,Ramya Subramanian,actorramya,86,"It’s not about being better than someone else,it’s about being better than who used to be 👍🏻.

4 weeks,2.5 kgs down and 2 inches lost.What you’re seeing is my own recent and proudest physical transformation to date 😊.
#HappyMe https://t.co/Ydmq0eOveW",2021-04-15 13:06:00.274410,2021-02-08 14:23:22+00:00,2108,"[{'text': 'HappyMe', 'indices': [218, 226]}]",11328,,Twitter for iPhone,None,None,None
1358580635909173255,Ramya Subramanian,actorramya,17733,"RT @Suriya_offl: ’கொரோனா’  பாதிப்பு ஏற்பட்டு, சிகிச்சை பெற்று நலமுடன் இருக்கிறேன். வாழ்க்கை இன்னும் இயல்பு நிலைக்கு திரும்பவில்லை என்பதை அ…",2021-04-15 13:06:00.274410,2021-02-08 00:57:19+00:00,0,[],11328,,Twitter for iPhone,"’கொரோனா’  பாதிப்பு ஏற்பட்டு, சிகிச்சை பெற்று நலமுடன் இருக்கிறேன். வாழ்க்கை இன்னும் இயல்பு நிலைக்கு திரும்பவில்லை என்பதை அனைவரும்  உணர்வோம். அச்சத்துடன் முடங்கிவிட முடியாது. அதேநேரம் பாதுகாப்பும், கவனமும் அவசியம். அர்ப்பணிப்புடன் துணைநிற்கும் மருத்துவர்களுக்கு அன்பும், நன்றிகளும்.",None,None
1358054976040259586,Ramya Subramanian,actorramya,4,Thank you @behindwoods 😇 https://t.co/4d9Kdhx7qF,2021-04-15 13:06:00.274410,2021-02-06 14:08:32+00:00,97,[],11328,,Twitter for iPhone,None,None,None
1358053127954436098,Ramya Subramanian,actorramya,1,@khushsundar Yessssss ❤️❤️❤️,2021-04-15 13:06:00.274410,2021-02-06 14:01:11+00:00,150,[],11328,,Twitter for iPhone,None,None,None
1357277601207775232,Ramya Subramanian,actorramya,28,This combo coming together again 🤩💐...how exciting is that ❤️💐!!! Wishing you two partners in crime the very very best @arya_offl @VishalKOfficial 🙌🏻👍🏻😇! https://t.co/p7KSsmIeGe,2021-04-15 13:06:00.274410,2021-02-04 10:39:31+00:00,838,[],11328,,Twitter for iPhone,None,None,None
1357276734391947265,Ramya Subramanian,actorramya,8,"RT @divomovies: ""My Dog Hero's Surprise Birthday Party"" @actorramya

https://t.co/pf4WDAR5st

#dogbirthday​ #birthdayparty​ #stayfitwithram…",2021-04-15 13:06:00.274410,2021-02-04 10:36:05+00:00,0,"[{'text': 'dogbirthday', 'indices': [94, 106]}, {'text': 'birthdayparty', 'indices': [108, 122]}]",11328,,Twitter for iPhone,"""My Dog Hero's Surprise Birthday Party"" @actorramya

https://t.co/pf4WDAR5st

#dogbirthday​ #birthdayparty​ #stayfitwithramya https://t.co/RhEtBr2Icv",None,None
1357275739179995136,Ramya Subramanian,actorramya,13,"When my Kutty patooty turned 1 ❤️🤩😘!
Hero’s Surprise Birthday Party 🎂 
https://t.co/3mUkpTxsoi https://t.co/1JMwW4jNnf",2021-04-15 13:06:00.274410,2021-02-04 10:32:07+00:00,263,[],11328,,Twitter for iPad,None,None,None
